outlet,article_id,entity_type,sentence
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States."
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday."
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday."
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire."
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire."
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas."
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas."
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas."
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas."
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week"
cnn,cnn_17_may25,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week"
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's actions leading up to The heinous attack offer hints at The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's mindset and plan."
cnn,cnn_17_may25,victim,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's actions leading up to The heinous attack offer hints at The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's mindset and plan."
cnn,cnn_11_may24_replacement,shooter,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said."
cnn,cnn_11_may24_replacement,victim,"an 18-year-old man is believed to have shot an 18-year-old man's grandmother before going to an elementary school in Uvalde, Texas,, three law enforcement sources told CNN."
cnn,cnn_11_may24_replacement,victim,"an 18-year-old man shot and killed, horrifically, incomprehensively, 14 students and killed one teacher,"" Uvalde Consolidated Independent School District police Chief Pete Arredondo said."
cnn,cnn_15_may25,shooter,"Kaitlin Marie Armstrong, the woman suspected of fatally the killing elite cyclist Anna Moriah ""Mo"" Wilson in Texas, is believed to have traveled to New York City after the killing, authorities said Wednesday."
cnn,cnn_15_may25,shooter,"Armstrong, 34, accused in the May 11 shooting of Wilson -- who had previously dated Kaitlin Marie Armstrong, the woman suspected of fatally shooting elite cyclist Anna Moriah ""Mo"" Wilson in Texas,'s boyfriend -- in what investigators believe may have been a deadly act of romantic jealousy."
cnn,cnn_15_may25,victim,"Armstrong, 34, accused in the May 11 shooting of Wilson -- who had previously dated Kaitlin Marie Armstrong, the woman suspected of fatally shooting elite cyclist Anna Moriah ""Mo"" Wilson in Texas,'s boyfriend -- in what investigators believe may have been a deadly act of romantic jealousy."
cnn,cnn_15_may25,shooter,"A homicide warrant was issued for Kaitlin Marie Armstrong, the woman suspected of fatally shooting elite cyclist Anna Moriah ""Mo"" Wilson in Texas, on May 17."
cnn,cnn_15_may25,victim,"Officers went to a friend's house in Austin shortly before 10 p.m. to find elite cyclist Anna Moriah ""Mo"" Wilson suffering from gunshot wounds, according to police."
cnn,cnn_15_may25,victim,"elite cyclist Anna Moriah ""Mo"" Wilson was pronounced dead at the scene."
cnn,cnn_15_may25,shooter,"Surveillance video shows a vehicle like Kaitlin Marie Armstrong, the woman suspected of fatally shooting elite cyclist Anna Moriah ""Mo"" Wilson in Texas,'s near the scene of the killing, according to an arrest affidavit filed by police in Travis County District Court."
cnn,cnn_16_may25,shooter,"An 18-year-old gunman on Tuesday fatally a horrific shooting at a Texas elementary school 19 children and two teachers at a Texas elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said."
cnn,cnn_16_may25,victim,"An 18-year-old gunman on Tuesday fatally a horrific shooting at a Texas elementary school 19 children and two teachers at a Texas elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said."
cnn,cnn_16_may25,victim,"a horrific shooting at a Texas elementary school is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old."
cnn,cnn_6_may25,shooter,"Just two days before students in a Texas elementary school were set to begin students in a Texas elementary school's summer break, a gunman clad in body armor rushed a gunman clad in body armor's way into a Texas elementary school and The violent act fire on classrooms of young children, killing students in a Texas elementary school, officials said."
cnn,cnn_6_may25,shooter,"a gunman clad in body armor, is believed to have shot a gunman clad in body armor's grandmother before driving to a Texas elementary school to carry out to attack, according to the Texas Department of Public Safety."
cnn,cnn_6_may25,victim,"a gunman clad in body armor, is believed to have shot a gunman clad in body armor's grandmother before driving to a Texas elementary school to carry out to attack, according to the Texas Department of Public Safety."
cnn,cnn_6_may25,shooter,"As a gunman clad in body armor tried to enter a Texas elementary school, a gunman clad in body armor was engaged by school district police officers, but was still able to enter a Texas elementary school and go into multiple classrooms, the Texas Department of Public Safety Sgt."
cnn,cnn_6_may25,shooter,Authorities say a gunman clad in body armor was armed with a rifle and carrying a backpack.
cnn,cnn_6_may25,victim,The violent act marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012.
cnn,cnn_4_may24,victim,"Eighteen children and one adult were killed in Tuesday's's mass shooting in Uvalde, Texas, according to Sgt."
cnn,cnn_4_may24,shooter,"Gov. Greg Abbott said earlier Tuesday ""it is believed"" that the shooter, 18-year-old Salvador Ramos, was killed by law enforcement."
cnn,cnn_4_may24,victim,"Gov. Greg Abbott said earlier Tuesday ""it is believed"" that the shooter, 18-year-old Salvador Ramos, was killed by law enforcement."
cnn,cnn_4_may24,shooter,"Erick Estrada of the Texas Department of Public Safety confirmed the shooter, 18-year-old Salvador Ramos, was killed."
cnn,cnn_4_may24,victim,"Erick Estrada of the Texas Department of Public Safety confirmed the shooter, 18-year-old Salvador Ramos, was killed."
cnn,cnn_4_may24,shooter,"the shooter, 18-year-old Salvador Ramos, is believed to have shot the shooter, 18-year-old Salvador Ramos,'s grandmother before going to the school, three law enforcement sources told CNN."
cnn,cnn_4_may24,victim,"the shooter, 18-year-old Salvador Ramos, is believed to have shot the shooter, 18-year-old Salvador Ramos,'s grandmother before going to the school, three law enforcement sources told CNN."
cnn,cnn_4_may24,shooter,"Two days before the start of summer break, the shooter, 18-year-old Salvador Ramos, Tuesday's mass shooting in Uvalde, Texas fire at an elementary school in Uvalde, Texas, on Tuesday's, killing Eighteen children and one teacher, Gov. Greg Abbott said."
cnn,cnn_23_may25,shooter,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman's intentions."
cnn,cnn_23_may25,shooter,"According to screenshots reviewed by CNN and an interview with the 15-year-old girl -- who said a girl who lives in Germany had been in contact with the 18-year-old gunman for weeks -- the 18-year-old gunman complained about the 18-year-old gunman's grandmother being ""on the phone with AT&T abojt (sic) the 18-year-old gunman's phone."
cnn,cnn_23_may25,victim,"According to screenshots reviewed by CNN and an interview with the 15-year-old girl -- who said a girl who lives in Germany had been in contact with the 18-year-old gunman for weeks -- the 18-year-old gunman complained about the 18-year-old gunman's grandmother being ""on the phone with AT&T abojt (sic) the 18-year-old gunman's phone."
cnn,cnn_23_may25,shooter,"""

""It's annoying,"" the 18-year-old gunman texted."
cnn,cnn_23_may25,shooter,"Six minutes later, the 18-year-old gunman texted: ""the 18-year-old gunman just shot the 18-year-old gunman's grandma in his grandmother's head."""
cnn,cnn_23_may25,victim,"Six minutes later, the 18-year-old gunman texted: ""the 18-year-old gunman just shot the 18-year-old gunman's grandma in his grandmother's head."""
cnn,cnn_23_may25,shooter,"Seconds after that, the 18-year-old gunman said, ""the 18-year-old gunmanma go shoot up a(n) elementary school rn (right now)."
cnn,cnn_14_may25,shooter,"Nineteen children and two teachers were close to celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two teachers's lives and devastating a nation."
cnn,cnn_14_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two teachers."
cnn,cnn_25_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political."
cnn,cnn_13_may25,shooter,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about the 18-year-old gunman's intentions."
cnn,cnn_13_may25,shooter,"According to screenshots reviewed by CNN and an interview with the 15-year-old girl -- who said a girl who lives in Germany had been in contact with the 18-year-old gunman for weeks -- the 18-year-old gunman complained about the 18-year-old gunman's grandmother being ""on the phone with AT&T abojt (sic) the 18-year-old gunman's phone."
cnn,cnn_13_may25,victim,"According to screenshots reviewed by CNN and an interview with the 15-year-old girl -- who said a girl who lives in Germany had been in contact with the 18-year-old gunman for weeks -- the 18-year-old gunman complained about the 18-year-old gunman's grandmother being ""on the phone with AT&T abojt (sic) the 18-year-old gunman's phone."
cnn,cnn_13_may25,shooter,"""

""It's annoying,"" the 18-year-old gunman texted."
cnn,cnn_13_may25,shooter,"Six minutes later, the 18-year-old gunman texted: ""the 18-year-old gunman just shot the 18-year-old gunman's grandma in his grandmother's head."""
cnn,cnn_13_may25,victim,"Six minutes later, the 18-year-old gunman texted: ""the 18-year-old gunman just shot the 18-year-old gunman's grandma in his grandmother's head."""
cnn,cnn_13_may25,shooter,"Seconds after that, the 18-year-old gunman said, ""the 18-year-old gunmanma go shoot up a(n) elementary school rn (right now)."
cnn,cnn_24_may25,victim,"The deliberations come as the country mourns another tragedy, victims of gun violence plea for more action, and the political branches seem forever divided on a path forward."
cnn,cnn_1_may24,shooter,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said."
cnn,cnn_1_may24,victim,"A suspect is in custody after a shooting incident at Robb Elementary School in Uvalde, Texas, left at least two dead and injured 14 people, including students, authorities said."
cnn,cnn_1_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) posted about an ""active shooter"" at Robb Elementary School in Uvalde, Texas, at 12:17 p.m. local time and said law enforcement was on site."
cnn,cnn_1_may24,shooter,"A suspect was taken into custody as of 1:06 p.m. local time, according to the Uvalde Police Department."
cnn,cnn_5_may24,shooter,An 18-year-old gunman on Tuesday fatally
cnn,cnn_5_may24,shooter,"The shooting 18 children and an adult at a Texas elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said."
cnn,cnn_5_may24,victim,"The shooting 18 children and an adult at a Texas elementary school before An 18-year-old gunman was killed by law enforcement officers, officials said."
cnn,cnn_5_may24,shooter,"The shooter -- identified by Texas officials as Salvador Ramos, of Uvalde -- also shot An 18-year-old gunman's grandmother before going to a Texas elementary school, three law enforcement sources told CNN."
cnn,cnn_5_may24,victim,"The shooter -- identified by Texas officials as Salvador Ramos, of Uvalde -- also shot An 18-year-old gunman's grandmother before going to a Texas elementary school, three law enforcement sources told CNN."
cnn,cnn_5_may24,shooter,"An 18-year-old gunman is believed to have acted alone, Uvalde Police Chief Pete Arredondo said."
cnn,cnn_5_may24,victim,"The shooting was the deadliest at an elementary school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children between 6 and 7 years old."
cnn,cnn_19_may25,victim,Texas Democratic gubernatorial nominee Beto O'Rourke confronted Texas Republican Gov. Greg Abbott and other officials on Wednesday as Texas Republican Gov. Greg Abbott and other officials tried to provide updates on Tuesday's deadly shooting at an elementary school in Texas.
cnn,cnn_8_may25,victim,"Nineteen children and two adults were killed in a mass shooting at an elementary school in Uvalde, Texas, Tuesday in what is now the second deadliest school shooting in the US."
cnn,cnn_8_may25,shooter,"The 18-year-old shooter, identified by officials as Salvador Ramos, was shot and killed by responding law enforcement."
cnn,cnn_8_may25,victim,"The 18-year-old shooter, identified by officials as Salvador Ramos, was shot and killed by responding law enforcement."
cnn,cnn_8_may25,shooter,"The 18-year-old shooter, identified by officials as Salvador Ramos, arrived at an elementary school in Uvalde, Texas, with a long rifle and wearing body armor, according to Sgt."
cnn,cnn_12_may25,victim,Yeezy Gap has postponed the launch of Yeezy Gap's Balenciaga collection following the deadly shooting at a Texas elementary school.
cnn,cnn_12_may25,victim,"Yeezy Gap posted a message on Yeezy Gap's website Wednesday morning: ""In light of the tragedy in Uvalde, Texas, Yeezy Gap are postponing the launch of its Balenciaga collection following the deadly shooting at a Texas elementary school until Friday, May 27."
cnn,cnn_12_may25,shooter,"As Yeezy Gap pause, Yeezy Gap's hearts go out to the families and communities impacted.""

An 18-year-old gunman on Tuesday fatally the deadly shooting at a Texas elementary school 19 children and two adults at an elementary school in Uvalde, Texas, before An 18-year-old gunman was killed by law enforcement officers, officials said."
cnn,cnn_12_may25,victim,"As Yeezy Gap pause, Yeezy Gap's hearts go out to the families and communities impacted.""

An 18-year-old gunman on Tuesday fatally the deadly shooting at a Texas elementary school 19 children and two adults at an elementary school in Uvalde, Texas, before An 18-year-old gunman was killed by law enforcement officers, officials said."
cnn,cnn_12_may25,victim,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School."
cnn,cnn_12_may25,victim,"the deadly shooting at a Texas elementary school is at least the 30th shooting at a K-12 school in 2022, according to a CNN tally."
cnn,cnn_12_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Products from its Balenciaga collection had been set to launch for purchase on Wednesday morning on Yeezygap.com and Balenciaga online partners farfetch.com, mytheresa.com and luisaviaroma.com."
cnn,cnn_20_may25,shooter,"House Sergeant at Arms William J. Walker, one of the top security officials on Capitol Hill's comments come one day after a gunman murdered 21 people in a Texas elementary school."
fox,fox_3_may24,victim,"President Biden is set to address the nation after a horrific shooting in Uvalde, Texas left 14 children and one teacher dead."
fox,fox_3_may24,shooter,"Texas Governor Greg Abbott said that 14 children and one teacher from the Robb Elementary School in Uvalde, Texas died after the suspect, who Texas Governor Greg Abbott identified as local resident Salvador Romas, a shooting Robb Elementary School."
fox,fox_20,shooter,"Former FBI assistant director Chris Swecker claimed the alleged shooter of Robb Elementary School in Uvalde, Texas, was""flashing red"" ahead of the alleged shooter of Robb Elementary School in Uvalde, Texas's ""unspeakable, cowardly act"" Tuesday on ""The Ingraham Angle."
fox,fox_20,shooter,"""

Former FBI assistant director Chris Swecker: Like every mass shooter, especially the young ones, the alleged shooter of Robb Elementary School in Uvalde, Texas was flashing red, it appears, which is nosurprise… They seem to always communicate threats."
fox,fox_20,shooter,"We don't know whether anybody reported this and whether any law enforcement officer everhad any contact with the alleged shooter of Robb Elementary School in Uvalde, Texas over this."
fox,fox_9_may24,shooter,"A shooter identified as Salvador Romas a massshooting at an elementary school in Uvalde, Texas fire at an elementary school in Uvalde, Texas Tuesday, killing at least 18 students and oneteacher."
fox,fox_9_may24,shooter,A shooter identified as Salvador Romas also died.
fox,fox_9_may24,victim,"Two police officers were shot and wounded but were expected to survive, Texas Gov. Greg Abbottsaid."
fox,fox_12,shooter,"A suspected lone gunman a mass shooting at an elementary school in Uvalde, Texas, on Tuesday the lives of at least 19 children and two teachers; A suspected lone gunman has been killed, Texas Gov. GregAbbott said on Tuesday."
fox,fox_12,victim,"A suspected lone gunman a mass shooting at an elementary school in Uvalde, Texas, on Tuesday the lives of at least 19 children and two teachers; A suspected lone gunman has been killed, Texas Gov. GregAbbott said on Tuesday."
fox,fox_12,victim,"""Texans across Texas are grieving for the victims of a mass shooting at an elementary school in Uvalde, Texas, on Tuesday and for the community of Uvalde,"" Texas Gov. GregAbbott said ina statement."
fox,fox_12,victim,"""

Texas SCHOOL SHOOTING: LIVE UPDATES

The shooting on Tuesday was the deadliest shooting at an elementary school since Sandy Hook in Newtown, Connecticut, in 2012."
fox,fox_4_may24,victim,"Vice President Kamala Harris called on leaders to take action following the deadly mass shooting at an elementary school inUvalde, Texas, Tuesday."
fox,fox_4_may24,victim,"""Every time a tragedy like the deadly mass shooting at an elementary school inUvalde, Texas, Tuesday happens, our hearts break and our broken hearts are nothing compared to the broken hearts of thosefamilies,"" Vice President Kamala Harris said."
fox,fox_4_may24,victim,"Law enforcement personnel stand outside Robb Elementary School following the deadly mass shooting at an elementary school inUvalde, Texas, Tuesday, Tuesday, May 24, 2022, in Uvalde, Texas."
fox,fox_4_may24,victim,"As a nation, America have to have the courage to take action and understand the nexus between what makes forreasonable and sensible public policy to ensure something like the deadly mass shooting at an elementary school inUvalde, Texas, Tuesday never happens again,"" Vice President Kamala Harris said."
fox,fox_5_may24,shooter,The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool.
fox,fox_5_may24,victim,The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool.
fox,fox_5_may24,shooter,"a now-deceased suspect is accused of entering school grounds on Tuesday and opening fire, according Texas Gov. Greg Abbott."
fox,fox_23,victim,"After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold parents across the country's own children close, as parents across the country never know when it will be the lasttime."
fox,fox_23,victim,"""For everybody else that has kids out here, cherish these moments just like everybody else that has kids out here's parents cherished everybody else that has kids out here every day,"" Benito Martinez,
a family member of thechildren killed told Fox News."
fox,fox_23,shooter,"""a family member of one of thechildren killed is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into Robb Elementary School in Uvalde, Texas, and fatally shot thechildren killed."
fox,fox_23,victim,"""a family member of one of thechildren killed is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into Robb Elementary School in Uvalde, Texas, and fatally shot thechildren killed."
fox,fox_23,shooter,"Fourth-grader Xavier Lopez, 10, was killed when a gunman broke into Robb Elementary School in Uvalde, Texas on May 24, 2022."
fox,fox_23,victim,"Fourth-grader Xavier Lopez, 10, was killed when a gunman broke into Robb Elementary School in Uvalde, Texas on May 24, 2022."
fox,fox_23,victim,"""a family member of one of thechildren killed am still trying to process everything that is going on,"" a family member of one of thechildren killed said during an interview with Fox News Digital."
fox,fox_17,victim,"Two Robb Elementary School students who were missing hours after a horrific shooting at Robb Elementary School are among the 22 people whowere killed, the families say."
fox,fox_17,shooter,"Annabelle Guadalupe Rodriguez, 10, who did not make contact with her family in the hours after suspected gunman SalvadorRamos, a student of Uvalde High School, carried out suspected gunman SalvadorRamos, a student of Uvalde High School,'s shooting spree, was also among the 22 people whowere killed, her father told Fox 7Austin."
fox,fox_17,victim,"Annabelle Guadalupe Rodriguez, 10, who did not make contact with her family in the hours after suspected gunman SalvadorRamos, a student of Uvalde High School, carried out suspected gunman SalvadorRamos, a student of Uvalde High School,'s shooting spree, was also among the 22 people whowere killed, her father told Fox 7Austin."
fox,fox_6_may24,shooter,"Texas Gov. Greg Abbott identified the deceased suspect as Salvador Ramos, 18, who had a handgun and possibly a rifle when heopened fire at Robb Elementary School in Uvalde, Texas,, killing 18 students and one teacher, according to Texas Gov. Greg Abbott."
fox,fox_6_may24,victim,"Two police officers were shot andwounded but were expected to survive, Texas Gov. Greg Abbott said."
fox,fox_24,victim,"Matthew McConaughey said Tuesday that ""action must be taken"" after a shooting at an elementary school in Matthew McConaughey's hometown ofUvalde, Texas, left at least 19 children and two teachers dead."
fox,fox_10_may24,shooter,"UVALDE, Texas SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD

It goes back to why did we not have a police officer, meaning an armed resource officer, at the front of Robb Elementary School in Uvalde, Texas?"
fox,fox_10_may24,victim,"UVALDE, Texas SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD

It goes back to why did we not have a police officer, meaning an armed resource officer, at the front of Robb Elementary School in Uvalde, Texas?"
fox,fox_21,victim,"Andrew Pollack, who became a prominent advocate for school safety after Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting's daughter was a victim in the 2018 Parkland shooting,
shared what could have been done to avoid the massacre at Robb Elementary School in Uvalde, Texas, Tuesday on ""TheIngraham Angle."
fox,fox_21,victim,"""

Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting: Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting'm so angry that Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting'm practically shaking right now at what happened — what these parents have to deal with."
fox,fox_21,victim,"And just thinking that Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting's daughter was murdered and we put a commission in Florida together to look into all the failures."
fox,fox_21,shooter,WHO IS THE Texas SCHOOL SHOOTER?
fox,fox_21,victim,"And this district in Texas didn't learn anything about what happened with Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting's daughter."
fox,fox_21,shooter,"How hard could it be that a single point ofentry and armed policemen or highly trained teachers at Robb Elementary School in Uvalde, Texas, even at a single point of entry, would prevent the 2018 Parkland shooting."
fox,fox_21,victim,"And it justangers Andrew Pollack, who became a prominent advocate for school safety after his daughter was a victim in the 2018 Parkland shooting."
fox,fox_22,shooter,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded anarmed 18-year-old in a classroom and opened fire."
fox,fox_22,victim,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded anarmed 18-year-old in a classroom and opened fire."
fox,fox_22,shooter,"anarmed 18-year-old has been identified by authorities as 18-year-old Uvalde, Texas, resident Salvador Ramos."
fox,fox_22,victim,"A state trooper walks past the a Texas elementary school sign in Uvalde, Texas, Tuesday, May 24, 2022, following a deadly shooting at a Texas elementary school."
fox,fox_22,victim,"A mass casualty incident, later discovered to be A mass shooting at a Texas elementary school Tuesday, takes place at Robb Elementary School in Uvalde, Texas, that servessecond through fourth graders."
fox,fox_22,victim,"a Texas elementary school says a Texas elementary school has locked down because of ""gunshots in the area."
fox,fox_22,shooter,"""

Local police received a call about ""a crashed vehicle and anarmed 18-year-old making anarmed 18-year-old's way into a Texas elementary school,"" DPS Lt.
Chris Olivarez told ""Fox & Friends"" on Wednesday."
fox,fox_8_may24,shooter,"Former FBI deputy assistant director Danny Coulson advocated for armed police officers in schools in the wake of the shooting atRobb Elementary School in Uvalde, Texas, Tuesday on ""Jesse Watters Primetime."
fox,fox_8_may24,shooter,Something much better than that is to have armed police officers inside the school protecting our kids.
fox,fox_8_may24,shooter,"And frankly, Former FBI deputy assistant director Danny Coulson'm a lot afraid. 

UVALDE, Texas SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD

I was in the business of rescuing people from situations like this."
fox,fox_8_may24,victim,"And frankly, Former FBI deputy assistant director Danny Coulson'm a lot afraid. 

UVALDE, Texas SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD

I was in the business of rescuing people from situations like this."
fox,fox_19,victim,"President Biden appeared on camera tonight for less than eight minutes,
not because President Biden believed that President Biden's words would comfort the families or the friends of the victims."
fox,fox_19,victim,"President Biden spoke tonight because politics is selfish, because in today's twisted world, it's consideredperfectly appropriate to exploit the massacre of the victims in order to try to turn around your own sagging poll numbers."
fox,fox_7_may24,shooter,"UVALDE, Texas SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV."
fox,fox_7_may24,victim,"UVALDE, Texas SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV."
fox,fox_2_may24,shooter,"There were 61 active shooter incidents reported in the U.S. in 2021 – a nearly 53% increase, or a jump of 21 events, from 2020, theFBI has found."
fox,fox_2_may24,shooter,"There were 52.5% more active shooter incidents between 2020 and 2021, and 33% more from 2019 to 2020, according to an FBIreport released Monday, titled ""Active Shooter Incidents in the U.S. in 2021."
