outlet,article_id,entity_type,sentence,phrase,cluster_id
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",elementary school,0
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",Two people dead,0
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",injured more than a dozen,0
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",including students,0
cnn,cnn_2_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site.",active shooter,0
cnn,cnn_2_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site.",law enforcement,0
cnn,cnn_2_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site.",on site,0
cnn,cnn_2_may24,shooter,"A suspect was taken into custody, according to the Uvalde Police Department.",taken into custody,0
cnn,cnn_2_may24,shooter,"A suspect was taken into custody, according to the Uvalde Police Department.",suspect,0
cnn,cnn_2_may24,shooter,"A suspect was taken into custody, according to the Uvalde Police Department.",Uvalde Police Department,0
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children dead,0
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",two adults dead,0
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",Texas elementary school,0
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",uniquely American tragedy,0
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",19 children dead,0
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",two adults dead,0
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",Texas elementary school,0
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",shooting,0
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",gun violence,0
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",latest entry,-1
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",heinous attack,0
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",19 kids,0
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two teachers,0
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",local high school student,0
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",few if any friends,-1
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",legally purchased,0
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two assault rifles,0
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",scores of ammo,0
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",18th birthday,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",heinous attack,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",19 kids,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two teachers,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",local high school student,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",few if any friends,-1
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",legally purchased,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two assault rifles,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",scores of ammo,0
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",18th birthday,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",identified as the gunman,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",stormed into an elementary school,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with an assault rifle,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with tactical vest,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",barricaded,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed 19 kids,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed two teachers,0
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",opened fire,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",identified as the gunman,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",stormed into an elementary school,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with an assault rifle,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with tactical vest,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",barricaded,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed 19 kids,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed two teachers,0
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",opened fire,0
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",fatally shot,0
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed 19 kids,0
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",two teachers,0
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school,0
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.","Uvalde, Texas",0
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",fatally shot,0
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed 19 kids,0
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",two teachers,0
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school,0
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",classroom of children,0
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",heinous attack,0
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed 19 kids,0
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed two teachers,0
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school,0
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",personal background,-1
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.","Uvalde, Texas",0
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",heinous attack,0
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",19 kids,0
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",two teachers,0
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school,0
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.","Uvalde, Texas",0
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",personal background,-1
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",suspect,0
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",killed 19 kids,0
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",two teachers,0
