outlet,article_id,entity_type,sentence,phrase
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",Texas Republican Gov. Greg Abbott
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",press conference
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",mass school shooting
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",19 children dead
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",two adults dead
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",shouted down
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",making it political
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children dead
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",two adults dead
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",Texas elementary school
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",uniquely American tragedy
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",19 children dead
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",two adults dead
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",Texas elementary school
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",shooting
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",gun violence
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",latest entry
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",suspect in custody
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",shooting at an elementary school
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",two people dead
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",injured more than a dozen others
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",including students
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",in custody
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",a shooting
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",elementary school
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",Two people dead
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",injured more than a dozen
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",including students
cnn,cnn_2_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site.",active shooter
cnn,cnn_2_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site.",law enforcement
cnn,cnn_2_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site.",on site
cnn,cnn_2_may24,shooter,"A suspect was taken into custody, according to the Uvalde Police Department.",taken into custody
cnn,cnn_2_may24,shooter,"A suspect was taken into custody, according to the Uvalde Police Department.",suspect
cnn,cnn_2_may24,shooter,"A suspect was taken into custody, according to the Uvalde Police Department.",Uvalde Police Department
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children dead
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",two adults dead
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",Texas elementary school
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",uniquely American tragedy
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",19 children dead
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",two adults dead
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",Texas elementary school
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",shooting
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",gun violence
cnn,cnn_9_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",latest entry
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",heinous attack
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",19 kids
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two teachers
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",local high school student
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",few if any friends
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",legally purchased
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two assault rifles
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",scores of ammo
cnn,cnn_17_may25,shooter,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",18th birthday
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",heinous attack
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",19 kids
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two teachers
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",local high school student
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",few if any friends
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",legally purchased
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",two assault rifles
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",scores of ammo
cnn,cnn_17_may25,victim,"The suspect who The heinous attack 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's 18th birthday.",18th birthday
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",identified as the gunman
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",stormed into an elementary school
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with an assault rifle
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with tactical vest
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",barricaded
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed 19 kids
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed two teachers
cnn,cnn_17_may25,shooter,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",opened fire
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",identified as the gunman
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",stormed into an elementary school
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with an assault rifle
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",with tactical vest
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",barricaded
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed 19 kids
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",killed two teachers
cnn,cnn_17_may25,victim,"Salvador Ramos was identified as the gunman who stormed into an elementary school in Uvalde, Texas on Tuesday with an assault rifle and tactical vest, barricaded The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas in a classroom of children and opened fire.",opened fire
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",fatally shot
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed 19 kids
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",two teachers
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school
cnn,cnn_17_may25,shooter,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.","Uvalde, Texas"
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",fatally shot
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed 19 kids
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",two teachers
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school
cnn,cnn_17_may25,victim,"Responding officers eventually forced Responding officers's way into a classroom of children and fatally shot The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",classroom of children
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",heinous attack
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed 19 kids
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",killed two teachers
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",personal background
cnn,cnn_17_may25,shooter,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.","Uvalde, Texas"
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",heinous attack
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",19 kids
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",two teachers
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",elementary school
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.","Uvalde, Texas"
cnn,cnn_17_may25,victim,"The heinous attack came just two days before students were set to be released for the summer and left a community and nation asking yet again: Who would do The heinous attack, and why?

An examination of The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas's personal background reveals The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas.",personal background
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",suspect
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",killed 19 kids
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",two teachers
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",elementary school
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",purchased guns
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",purchased ammo
cnn,cnn_17_may25,shooter,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas purchased guns and ammo last week",last week
